rijksnr;Monumentnaam;X_COORD RD;Y_COORD RD;X_WGS84;Y_WGS84;Historisch adres;historisch straatnaam;historisch huisnummer;historische toevoegingen;historische plaatsnaam;historische gemeentenaam;postcode;provincie;gemeente;plaatsnaam;nieuw adres;straat;huisnummer;toevoeging
35050;;143489;596815;5,214324781703;53,357601117045;Lange Buurtstraat 1748;Lange Buurtstraat;1748;;;;8881 BB;Friesland;Terschelling;Terschelling West;Commandeurstraat 32;Commandeurstraat;32;
35093;;149486;600314;5,304332964079;53,389135414863;Zuid 13;Zuid;13;;;;8894 KE;Friesland;Terschelling;Formerum;Formerum 6;Formerum;6;
35073;;143498;597073;5,214450659217;53,359919460111;Torenstraat A 44;Torenstraat;A 44;;West-Terschelling;;8881 BL;Friesland;Terschelling;Terschelling West;Torenstraat 52;Torenstraat;52;
35073;;143498;597073;5,214450659217;53,359919460111;Torenstraat A338;Torenstraat;A338;;West-Terschelling;;8881 BL;Friesland;Terschelling;Terschelling West;Torenstraat 52;Torenstraat;52;
35073;;143498;597073;5,214450659217;53,359919460111;;;;;;;8881 BL;Friesland;Terschelling;Terschelling West;Torenstraat 52;Torenstraat;52;
507757;;116176;398496;4,827156749489;51,574050541519;Dorstseweg 8;Dorstseweg;8;;Bavel;;4854 NB;Noord-Brabant;Breda;Bavel;Dorstseweg 10;Dorstseweg;10
35137;;115775;403548;4,820805934668;51,619431161013;Hoeveneind 38;Hoeveneind;38;;Teteringen;;4847 NG;Noord-Brabant;Breda;Teteringen;Hoeveneind 76;Hoeveneind;76
35139;;115531;402767;4,817371041706;51,612394273156;Hoolstraat 4;Hoolstraat;4;;Teteringen;;4847 AJ;Noord-Brabant;Breda;Teteringen;Hoeveneind 3;Hoeveneind;3
35132;;115526;402802;4,817294904739;51,612708508526;Hoeveneind 1;Hoeveneind;1;;Teteringen;;4847 AJ;Noord-Brabant;Breda;Teteringen;Hoeveneind 7;Hoeveneind;7
515500;Zoudtland;108494;398704;4,716321236542;51,575336820918;;;;;Princenhage;;4838 GR;Noord-Brabant;Breda;Breda;Zoudtlandseweg 9;Zoudtlandseweg;9
35105;;149976;600231;5,311698946539;53,388394494783;Zuidweg 10;Zuidweg;10;;;;8894 KH;Friesland;Terschelling;Formerum;Formerum Zuid 10;Formerum Zuid;10
35105;;149976;600231;5,311698946539;53,388394494783;Formerum 10;Formerum;10;;;;8894 KH;Friesland;Terschelling;Formerum;Formerum Zuid 10;Formerum Zuid;10
35105;;149976;600231;5,311698946539;53,388394494783;Zuid 10;Zuid;10;;;;8894 KH;Friesland;Terschelling;Formerum;Formerum Zuid 10;Formerum Zuid;10
10397;;110119;398914;4,739734578076;51,577356467959;;;;;Princenhage;;4813 BB;Noord-Brabant;Breda;Breda;Haagsemarkt 31;Haagsemarkt;31
35109;;150739;600752;5,323159652155;53,393082312430;zuidweg 6;zuidweg;6;;Lies;;8895 KW;Friesland;Terschelling;Lies;Zuidkant 3;Zuidkant;3
10395;;110131;398925;4,739906273385;51,577456295680;;;;;Princenhage;;4813 BB;Noord-Brabant;Breda;Breda;Haagsemarkt 29;Haagsemarkt;29
35114;;148244;599634;5,285680170769;53,383011333788;Midsland 87B;Midsland;87;B;;;8891 GA;Friesland;Terschelling;Midsland;Oosterburen 1;Oosterburen;1
10390;;110055;398873;4,738816614539;51,576982839324;;;;;Princenhage;;4813 BA;Noord-Brabant;Breda;Breda;Haagsemarkt 6;Haagsemarkt;6
10410;;109987;398905;4,737831579734;51,577265015753;;;;;Princenhage;;4813 BC;Noord-Brabant;Breda;Breda;Liesbosstraat 11;Liesbosstraat;11
10412;;109904;398923;4,736631953903;51,577420146532;;;;;Princenhage;;4813 BE;Noord-Brabant;Breda;Breda;Liesbosstraat 30;Liesbosstraat;30
35114;;148244;599634;5,285680170769;53,383011333788;Westerburen 23;Westerburen;23;;;;8891 GA;Friesland;Terschelling;Midsland;Oosterburen 1;Oosterburen;1
35114;;148244;599634;5,285680170769;53,383011333788;Oosterburen 1;Oosterburen;1;;;;8891 GA;Friesland;Terschelling;Midsland;Oosterburen 1;Oosterburen;1
35114;;148244;599634;5,285680170769;53,383011333788;B 167;B;167;;;;8891 GA;Friesland;Terschelling;Midsland;Oosterburen 1;Oosterburen;1
37430;;83296;435768;4,345214921796;51,905789594691;24;;24;;;;3131 AG;Zuid-Holland;Vlaardingen;Vlaardingen;Westhavenkade 54;Westhavenkade;54
10399;;110289;398990;4,742177194867;51,578053118626;Steenweg;Steenweg;;;;;4813 XC;Noord-Brabant;Breda;Breda;Haagweg 389;Haagweg;389
35120;;148335;599656;5,287047241502;53,383210148191;Midsland 109;Midsland;109;;;;8891 GA;Friesland;Terschelling;Midsland;Oosterburen 23;Oosterburen;23
35112;;150933;600847;5,326074521095;53,393937398988;Hoofdweg 27;Hoofdweg;27;;;;8895 KP;Friesland;Terschelling;Lies;Lies 27;Lies;27
35112;;150933;600847;5,326074521095;53,393937398988;Lies 29;Lies;29;;;;8895 KP;Friesland;Terschelling;Lies;Lies 27;Lies;27
35112;;150933;600847;5,326074521095;53,393937398988;Lies 25;Lies;25;;;;8895 KP;Friesland;Terschelling;Lies;Lies 27;Lies;27
35112;;150933;600847;5,326074521095;53,393937398988;Lies 26;Lies;26;;;;8895 KP;Friesland;Terschelling;Lies;Lies 27;Lies;27
14898;Weduwenhof;185491;495711;5,835707904224;52,448319106743;Kerkpad 20;Kerkpad;20;;;;8081 CJ;Gelderland;Elburg;Elburg;Zuiderkerkstraat 3;Zuiderkerkstraat;3
26635;;77317;437707;4,257907076643;51,922412652114;Zuidvliet 50;Zuidvliet;50;;;;3141 AP;Zuid-Holland;Maassluis;Maassluis;Zuidvliet 98;Zuidvliet;98
26636;;77317;437707;4,257907076643;51,922412652114;Ziudvliet 50;Ziudvliet;50;;;;3141 AP;Zuid-Holland;Maassluis;Maassluis;Zuidvliet 97;Zuidvliet;97
10122;;112889;400257;4,779531632993;51,589642010834;Boschstraat 1;Boschstraat;1;;Breda;Breda;4811 XG;Noord-Brabant;Breda;Breda;Catharinastraat 97;Catharinastraat;97
26628;;77042;437579;4,253939095076;51,921223867628;C 76;C;76;;Maassluis;Maassluis;3143 AR;Zuid-Holland;Maassluis;Maassluis;Zuiddijk 11;Zuiddijk;11
26632;;77125;437650;4,255129353708;51,921873557479;Zuidvliet Z.Z.;Zuidvliet Z.Z.;;;;;3141 AL;Zuid-Holland;Maassluis;Maassluis;Zuidvliet 12;Zuidvliet;12
26611;;77186;437706;4,256003280001;51,922385355904;Zuidvliet 29;Zuidvliet;29;;Maassluis;Maassluis;3142 GC;Zuid-Holland;Maassluis;Maassluis;Dr. Kuyperkade 25;Dr. Kuyperkade;25
26632;;77125;437650;4,255129353708;51,921873557479;Zuidvliet J 122;Zuidvliet;J 122;;;;3141 AL;Zuid-Holland;Maassluis;Maassluis;Zuidvliet 12;Zuidvliet;12;
